iteration,pid,num_targets,target_w,target_d,target_id,timestamp
1,1,10,20,200,0,1782120157
1,1,10,20,200,1,1782120158
1,1,10,20,200,2,1782120158
1,1,10,20,200,3,1782120159
1,1,10,20,200,4,1782120160
1,1,10,20,200,5,1782120161
1,1,10,20,200,6,1782120162
1,1,10,20,200,7,1782120163
1,1,10,20,200,8,1782120163
1,1,10,20,200,9,1782120164
2,1,10,20,200,0,1782120165
2,1,10,20,200,1,1782120166
2,1,10,20,200,2,1782120167
2,1,10,20,200,3,1782120168
2,1,10,20,200,4,1782120169
2,1,10,20,200,5,1782120170
2,1,10,20,200,6,1782120171
2,1,10,20,200,7,1782120172
2,1,10,20,200,8,1782120172
2,1,10,20,200,9,1782120174
3,1,10,20,200,0,1782120175
3,1,10,20,200,1,1782120176
3,1,10,20,200,2,1782120177
3,1,10,20,200,3,1782120178
3,1,10,20,200,4,1782120178
3,1,10,20,200,5,1782120179
3,1,10,20,200,6,1782120181
3,1,10,20,200,7,1782120181
3,1,10,20,200,8,1782120182
3,1,10,20,200,9,1782120183
